targetIP,targetLoc,targetOwner,targetPing,targetHops,cdnIP,cdnLoc,cdnOwner,cdnPing,cdnHops,contentIP,contentLoc,contentOwner,contentPing,contentHops,contentThroughput(KB/s),targetURL
216.58.223.46,California US,AS15169 Google Inc.,60,10,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,118,8,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,11,8,201.73,https://www.youtube.com/watch?v=1-xX7hPxMio
216.58.223.46,California US,AS15169 Google Inc.,66,10,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,11,8,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,10,8,203.62,https://www.youtube.com/watch?v=9bZkp7q19f0
93.184.220.127,US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",166,18,54.192.0.134,Washington US,"AS16509 Amazon.com, Inc.",153,20,54.192.0.134,Washington US,"AS16509 Amazon.com, Inc.",153,20,198.9,https://soundcloud.com/nocopyrightsounds/lensko-cetus-ncs-release
8.253.70.90,US,"AS3356 Level 3 Communications, Inc.",282,17,2.22.126.138,GB,AS20940 Akamai International B.V.,143,13,192.229.220.106,California US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",160,18,206.53,https://www.twitch.tv/dota2ti/v/83400929
216.58.223.46,California US,AS15169 Google Inc.,32,10,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,10,8,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,11,8,201.52,https://www.youtube.com/watch?v=1-xX7hPxMio
216.58.223.46,California US,AS15169 Google Inc.,32,10,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,10,8,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,11,8,203.14,https://www.youtube.com/watch?v=9bZkp7q19f0
93.184.220.127,US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",166,18,54.192.0.134,Washington US,"AS16509 Amazon.com, Inc.",153,20,54.192.0.134,Washington US,"AS16509 Amazon.com, Inc.",153,20,204.79,https://soundcloud.com/nocopyrightsounds/lensko-cetus-ncs-release
8.254.199.43,US,"AS3356 Level 3 Communications, Inc.",163,17,54.240.166.40,Washington US,"AS16509 Amazon.com, Inc.",156,20,192.229.220.106,California US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",160,18,201.82,https://www.twitch.tv/dota2ti/v/83400929
216.58.223.46,California US,AS15169 Google Inc.,32,10,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,11,8,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,11,8,206.09,https://www.youtube.com/watch?v=1-xX7hPxMio
216.58.223.46,California US,AS15169 Google Inc.,32,10,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,14,8,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,11,8,199.53,https://www.youtube.com/watch?v=9bZkp7q19f0
93.184.220.127,US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",166,18,54.192.0.134,Washington US,"AS16509 Amazon.com, Inc.",209,20,54.192.0.134,Washington US,"AS16509 Amazon.com, Inc.",153,20,204.94,https://soundcloud.com/nocopyrightsounds/lensko-cetus-ncs-release
8.253.70.12,US,"AS3356 Level 3 Communications, Inc.",162,16,192.229.220.106,California US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",159,18,192.229.220.106,California US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",159,18,203.63,https://www.twitch.tv/dota2ti/v/83400929
