targetIP,targetLoc,targetOwner,targetPing,targetHops,cdnIP,cdnLoc,cdnOwner,cdnPing,cdnHops,contentIP,contentLoc,contentOwner,contentPing,contentHops,contentThroughput(KB/s),targetURL
216.58.223.14,California US,AS15169 Google Inc.,33,10,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,10,8,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,11,8,202.18,https://www.youtube.com/watch?v=1-xX7hPxMio
216.58.223.14,California US,AS15169 Google Inc.,140,10,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,11,8,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,11,8,202.48,https://www.youtube.com/watch?v=9bZkp7q19f0
93.184.220.127,US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",156,17,54.192.0.134,Washington US,"AS16509 Amazon.com, Inc.",160,20,54.192.0.134,Washington US,"AS16509 Amazon.com, Inc.",160,20,198.26,https://soundcloud.com/nocopyrightsounds/lensko-cetus-ncs-release
8.253.13.173,US,"AS3356 Level 3 Communications, Inc.",153,17,192.229.220.106,California US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",154,17,192.229.220.106,California US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",153,17,206.54,https://www.twitch.tv/dota2ti/v/83400929
216.58.223.14,California US,AS15169 Google Inc.,103,10,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,11,8,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,11,8,202.96,https://www.youtube.com/watch?v=1-xX7hPxMio
216.58.223.14,California US,AS15169 Google Inc.,189,10,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,11,8,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,10,8,178.53,https://www.youtube.com/watch?v=9bZkp7q19f0
93.184.220.127,US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",156,17,54.192.0.134,Washington US,"AS16509 Amazon.com, Inc.",159,20,54.192.0.134,Washington US,"AS16509 Amazon.com, Inc.",160,20,187.93,https://soundcloud.com/nocopyrightsounds/lensko-cetus-ncs-release
8.253.70.90,US,"AS3356 Level 3 Communications, Inc.",240,16,192.229.220.106,California US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",154,17,2.22.126.195,GB,AS20940 Akamai International B.V.,261,13,201.21,https://www.twitch.tv/dota2ti/v/83400929
216.58.223.14,California US,AS15169 Google Inc.,32,10,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,11,8,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,11,8,198.14,https://www.youtube.com/watch?v=1-xX7hPxMio
216.58.223.14,California US,AS15169 Google Inc.,32,10,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,11,8,173.194.128.106,California US,AS15169 Google Inc.,32,10,202.17,https://www.youtube.com/watch?v=9bZkp7q19f0
93.184.220.127,US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",156,17,54.192.0.134,Washington US,"AS16509 Amazon.com, Inc.",159,20,54.192.0.134,Washington US,"AS16509 Amazon.com, Inc.",160,20,206.89,https://soundcloud.com/nocopyrightsounds/lensko-cetus-ncs-release
8.253.13.173,US,"AS3356 Level 3 Communications, Inc.",153,17,192.229.220.106,California US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",153,17,2.22.126.195,GB,AS20940 Akamai International B.V.,152,13,206.51,https://www.twitch.tv/dota2ti/v/83400929
