targetIP,targetLoc,targetOwner,targetPing,targetHops,cdnIP,cdnLoc,cdnOwner,cdnPing,cdnHops,contentIP,contentLoc,contentOwner,contentPing,contentHops,contentThroughput(KB/s),targetURL
216.58.223.46,California US,AS15169 Google Inc.,35,7,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,12,6,173.194.128.8,California US,AS15169 Google Inc.,34,7,200.4,https://www.youtube.com/watch?v=1-xX7hPxMio
216.58.223.46,California US,AS15169 Google Inc.,34,7,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,11,6,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,12,6,204.17,https://www.youtube.com/watch?v=9bZkp7q19f0
93.184.220.127,US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",151,13,54.230.197.130,Washington US,"AS16509 Amazon.com, Inc.",152,16,54.230.197.130,Washington US,"AS16509 Amazon.com, Inc.",170,16,204.59,https://soundcloud.com/nocopyrightsounds/lensko-cetus-ncs-release
8.253.70.12,US,"AS3356 Level 3 Communications, Inc.",203,12,62.115.225.82,EU,AS1299 Telia Company AB,159,16,62.115.225.82,EU,AS1299 Telia Company AB,159,16,184.01,https://www.twitch.tv/dota2ti/v/83400929
216.58.223.14,California US,AS15169 Google Inc.,34,7,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,12,6,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,12,6,205.64,https://www.youtube.com/watch?v=1-xX7hPxMio
216.58.223.14,California US,AS15169 Google Inc.,34,7,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,12,6,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,11,6,200.64,https://www.youtube.com/watch?v=9bZkp7q19f0
93.184.220.127,US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",151,13,54.230.197.130,Washington US,"AS16509 Amazon.com, Inc.",152,16,54.230.197.130,Washington US,"AS16509 Amazon.com, Inc.",166,16,202.76,https://soundcloud.com/nocopyrightsounds/lensko-cetus-ncs-release
8.253.70.90,US,"AS3356 Level 3 Communications, Inc.",212,12,62.115.225.82,EU,AS1299 Telia Company AB,159,16,192.229.220.106,California US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",152,13,202.2,https://www.twitch.tv/dota2ti/v/83400929
216.58.223.14,California US,AS15169 Google Inc.,34,7,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,11,6,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,12,6,204.92,https://www.youtube.com/watch?v=1-xX7hPxMio
216.58.223.14,California US,AS15169 Google Inc.,34,7,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,12,6,197.84.135.14,ZA,AS10474 Dimension Data (Pty) Ltd - Optinet,11,6,194.81,https://www.youtube.com/watch?v=9bZkp7q19f0
93.184.220.127,US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",150,13,54.230.197.130,Washington US,"AS16509 Amazon.com, Inc.",152,16,54.230.197.130,Washington US,"AS16509 Amazon.com, Inc.",152,16,196.99,https://soundcloud.com/nocopyrightsounds/lensko-cetus-ncs-release
8.253.70.90,US,"AS3356 Level 3 Communications, Inc.",155,12,62.115.225.82,EU,AS1299 Telia Company AB,159,16,62.115.225.82,EU,AS1299 Telia Company AB,159,16,206.57,https://www.twitch.tv/dota2ti/v/83400929
