targetIP,targetLoc,targetOwner,targetPing,targetHops,cdnIP,cdnLoc,cdnOwner,cdnPing,cdnHops,contentIP,contentLoc,contentOwner,contentPing,contentHops,contentThroughput(KB/s),targetURL
216.58.223.46,California US,AS15169 Google Inc.,32,11,105.187.241.13,ZA,AS37457 Telkom SA Ltd.,10,7,74.125.100.171,California US,AS15169 Google Inc.,197,16,189.25,https://www.youtube.com/watch?v=1-xX7hPxMio
216.58.223.46,California US,AS15169 Google Inc.,32,11,105.187.241.76,ZA,AS37457 Telkom SA Ltd.,10,7,105.187.241.76,ZA,AS37457 Telkom SA Ltd.,9,7,203.66,https://www.youtube.com/watch?v=9bZkp7q19f0
93.184.220.127,US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",154,9,54.192.130.101,Washington US,"AS16509 Amazon.com, Inc.",157,15,54.192.130.101,Washington US,"AS16509 Amazon.com, Inc.",157,15,206.48,https://soundcloud.com/nocopyrightsounds/lensko-cetus-ncs-release
8.253.89.13,US,"AS3356 Level 3 Communications, Inc.",166,12,92.122.212.59,EU,AS20940 Akamai International B.V.,168,9,192.229.220.106,California US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",217,10,205.32,https://www.twitch.tv/dota2ti/v/83400929
216.58.223.46,California US,AS15169 Google Inc.,31,11,105.187.241.13,ZA,AS37457 Telkom SA Ltd.,10,7,105.187.241.13,ZA,AS37457 Telkom SA Ltd.,9,7,201.58,https://www.youtube.com/watch?v=1-xX7hPxMio
216.58.223.46,California US,AS15169 Google Inc.,32,11,105.187.241.76,ZA,AS37457 Telkom SA Ltd.,9,7,105.187.241.76,ZA,AS37457 Telkom SA Ltd.,9,7,203.03,https://www.youtube.com/watch?v=9bZkp7q19f0
93.184.220.127,US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",153,9,54.192.130.101,Washington US,"AS16509 Amazon.com, Inc.",157,16,52.85.173.101,Washington US,"AS16509 Amazon.com, Inc.",167,17,206.46,https://soundcloud.com/nocopyrightsounds/lensko-cetus-ncs-release
8.254.201.28,US,"AS3356 Level 3 Communications, Inc.",169,12,192.229.220.106,California US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",154,9,192.229.220.106,California US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",153,9,204.4,https://www.twitch.tv/dota2ti/v/83400929
216.58.223.46,California US,AS15169 Google Inc.,31,11,105.187.241.13,ZA,AS37457 Telkom SA Ltd.,9,7,105.187.241.13,ZA,AS37457 Telkom SA Ltd.,10,7,202.28,https://www.youtube.com/watch?v=1-xX7hPxMio
216.58.223.46,California US,AS15169 Google Inc.,31,11,105.187.241.76,ZA,AS37457 Telkom SA Ltd.,10,7,105.187.241.76,ZA,AS37457 Telkom SA Ltd.,9,7,203.34,https://www.youtube.com/watch?v=9bZkp7q19f0
93.184.220.127,US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",153,9,54.192.130.101,Washington US,"AS16509 Amazon.com, Inc.",157,15,54.192.130.101,Washington US,"AS16509 Amazon.com, Inc.",157,15,202.8,https://soundcloud.com/nocopyrightsounds/lensko-cetus-ncs-release
8.253.89.13,US,"AS3356 Level 3 Communications, Inc.",166,12,192.229.220.106,California US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",154,9,192.229.220.106,California US,"AS15133 MCI Communications Services, Inc. d/b/a Verizon Business",154,9,205.79,https://www.twitch.tv/dota2ti/v/83400929
